event_month,aar,std,n,se,t_stat,api,news,event,model,surprise
-12,-0.00035516244411326484,0.10379742569103989,1342,0.002833415887006073,-0.12534779865604093,1.0,Good,FYE,Simple (EW),SUE
-11,-0.012410692250372566,0.1265572394248708,1342,0.0034547031433074817,-3.5924048277244314,0.9875893077496274,Good,FYE,Simple (EW),SUE
-10,0.016746971684053653,0.10559425491418614,1342,0.0028824649306909674,5.8099481127214165,1.0041284379219844,Good,FYE,Simple (EW),SUE
-9,0.004066935916542478,0.12109777012396485,1342,0.0033056729824068325,1.2302898496575958,1.008212163930991,Good,FYE,Simple (EW),SUE
-8,0.0019202064083457533,0.10205866254151454,1342,0.0027859519051317023,0.6892460723420055,1.0101481393891432,Good,FYE,Simple (EW),SUE
-7,-0.000197518628912069,0.13499162816634228,1342,0.0036849413298344273,-0.05360156681814632,1.0099486163136528,Good,FYE,Simple (EW),SUE
-6,0.030203210879284653,0.10896587691103016,1342,0.0029745019659761463,10.154039642523088,1.0404523073494159,Good,FYE,Simple (EW),SUE
-5,0.013457997764530551,0.11113247829622211,1342,0.003033644885415064,4.436246915132661,1.054454712175825,Good,FYE,Simple (EW),SUE
-4,0.01364762220566319,0.12066883789262269,1342,0.003293964181435685,4.1432211930473475,1.068845511720582,Good,FYE,Simple (EW),SUE
-3,0.0006687712369597603,0.09075202846622414,1342,0.002477308445005335,0.2699588088468007,1.0695603248555743,Good,FYE,Simple (EW),SUE
-2,-0.0032603758389261783,0.10027071507107449,1341,0.002738165682649795,-1.1907153243448099,1.0660731562141412,Good,FYE,Simple (EW),SUE
-1,0.03404176229508196,0.13533890560968248,1342,0.0036944211547781393,9.214369685777275,1.1023641651871507,Good,FYE,Simple (EW),SUE
0,0.030271012667660212,0.11822992675170166,1342,0.003227387871592981,9.379415760374343,1.1357338447959058,Good,FYE,Simple (EW),SUE
1,-0.0012472183308494796,0.10250052148308088,1342,0.0027980135736799796,-0.4457513510948139,1.1343173367257102,Good,FYE,Simple (EW),SUE
2,0.01680136661698957,0.1356673058107664,1342,0.0037033856771721417,4.536758545175041,1.153375418160046,Good,FYE,Simple (EW),SUE
3,0.013829045522388062,0.10160449554849474,1340,0.00277562330174362,4.982320732680399,1.1693254993221847,Good,FYE,Simple (EW),SUE
4,-0.006719780688622751,0.09613051941635127,1336,0.0026300139971476826,-2.555036093309969,1.1614678884131253,Good,FYE,Simple (EW),SUE
5,-0.005704472180451131,0.1290783556903779,1330,0.0035393833526606738,-1.6117135704339252,1.1548423271551853,Good,FYE,Simple (EW),SUE
6,0.0014705188253012042,0.08629007013520938,1328,0.0023678914232124343,0.6210246005731984,1.1565405445375214,Good,FYE,Simple (EW),SUE
-12,-0.004480062200956939,0.12457690339883083,836,0.004308582297230902,-1.039799612006076,1.0,Bad,FYE,Simple (EW),SUE
-11,-0.009980505980861231,0.13526276070712792,836,0.0046781604001788065,-2.1334253482372603,0.9900194940191388,Bad,FYE,Simple (EW),SUE
-10,0.006828661483253591,0.11061969165501469,836,0.0038258620353089487,1.7848687224556854,0.9967800020056174,Bad,FYE,Simple (EW),SUE
-9,-0.010231303827751193,0.1391954294455989,836,0.004814174592578523,-2.1252456949782537,0.9865816429556716,Bad,FYE,Simple (EW),SUE
-8,-0.0020007870813397123,0.11554968733989472,836,0.003996369501410391,-0.5006511736799109,0.984607703149759,Bad,FYE,Simple (EW),SUE
-7,-0.021559220095693776,0.1387531595244021,836,0.004798878367507286,-4.49255397712704,0.9633803289696379,Bad,FYE,Simple (EW),SUE
-6,0.029534770334928233,0.12212866711091916,836,0.004223908274665387,6.992284967946644,0.9918335457309437,Bad,FYE,Simple (EW),SUE
-5,0.02859419258373206,0.1272578098841018,836,0.004401303386837616,6.496755635897505,1.02019422514858,Bad,FYE,Simple (EW),SUE
-4,-0.002438253588516748,0.11506155787505665,836,0.003979487190857006,-0.6127054747452663,1.0177067329181275,Bad,FYE,Simple (EW),SUE
-3,0.0007996889952153093,0.0988126628552973,836,0.0034175074055065578,0.23399773587228728,1.0185205817927987,Bad,FYE,Simple (EW),SUE
-2,-0.009306236842105266,0.1152096615551579,836,0.003984609463740897,-2.335545535086952,1.009041988030076,Bad,FYE,Simple (EW),SUE
-1,0.012721763157894733,0.1464565347343509,836,0.0050653051701727335,2.5115492019725445,1.0218787812181658,Bad,FYE,Simple (EW),SUE
0,0.04338751674641148,0.13790064221701218,836,0.004769393439896397,9.097072257338024,1.0662155639510715,Bad,FYE,Simple (EW),SUE
1,-0.013965844497607656,0.13163337767933023,836,0.004552635563416921,-3.067639459180821,1.0513249631840018,Bad,FYE,Simple (EW),SUE
2,-0.03156862679425837,0.12879890515236284,836,0.004454603281200203,-7.086742589960299,1.0181360777817587,Bad,FYE,Simple (EW),SUE
3,-0.0008268955582232874,0.11838736839697653,833,0.004101879198652474,-0.20158944673332516,1.0172941855813742,Bad,FYE,Simple (EW),SUE
4,-0.01917678045838359,0.10831515916555927,829,0.0037619409731516266,-5.097576117021829,0.99778575832289,Bad,FYE,Simple (EW),SUE
5,0.0013033810679611622,0.13269638242698323,824,0.004622697525697264,0.2819524878527645,0.9990862533901693,Bad,FYE,Simple (EW),SUE
6,-0.00041027527405603095,0.10841410151702434,821,0.0037836782314954963,-0.10843291869823453,0.998676353003754,Bad,FYE,Simple (EW),SUE
-12,0.01138056721698113,0.10864577190539325,848,0.003730911124891363,3.050345300656957,1.0,Good,FYE,Simple (EW),TSUE
-11,-0.012553364386792441,0.12104654109702685,848,0.004156755287281443,-3.0199911996749895,0.9874466356132076,Good,FYE,Simple (EW),TSUE
-10,0.023837709905660382,0.10421734606336852,848,0.0035788383571249967,6.660739471008138,1.0109851020602756,Good,FYE,Simple (EW),TSUE
-9,0.021711376179245286,0.11602553728010459,848,0.003984333308311203,5.449186726912628,1.032934979922719,Good,FYE,Simple (EW),TSUE
-8,0.01099557429245283,0.09587075296546115,848,0.0032922151733802986,3.339871093894227,1.0442926932337324,Good,FYE,Simple (EW),TSUE
-7,-0.001570235849056601,0.12574452544359618,848,0.004318084732098162,-0.3636417408357852,1.0426529074099091,Good,FYE,Simple (EW),TSUE
-6,0.031807767688679246,0.098734230988805,848,0.003390547412415596,9.381307446757631,1.0758173688687294,Good,FYE,Simple (EW),TSUE
-5,0.009652834905660377,0.104309342727902,848,0.003581997535555426,2.694818968981676,1.0862020563190613,Good,FYE,Simple (EW),TSUE
-4,0.020683920990566037,0.10792580355675621,848,0.0037061873102928653,5.580916251351468,1.108668973831755,Good,FYE,Simple (EW),TSUE
-3,0.0055866721698113195,0.08509681380155744,848,0.0029222365835046282,1.9117795599941614,1.114862743933394,Good,FYE,Simple (EW),TSUE
-2,0.009273944510035416,0.10146892390999315,847,0.003486513486586722,2.6599479811892417,1.1252019191569382,Good,FYE,Simple (EW),TSUE
-1,0.022165429245283013,0.1262350633875368,848,0.00433492987425264,5.113215181849839,1.150142502682668,Good,FYE,Simple (EW),TSUE
0,0.005969682783018869,0.10580328135219712,848,0.0036332995985399025,1.6430472140029075,1.1570084885789509,Good,FYE,Simple (EW),TSUE
1,0.007384944575471698,0.10092080619861553,848,0.003465634713399545,2.1309067995304054,1.1655529321404567,Good,FYE,Simple (EW),TSUE
2,0.007150099056603777,0.12024745858496827,848,0.004129314681156967,1.7315461786507478,1.1738867510609758,Good,FYE,Simple (EW),TSUE
3,0.014150475177304967,0.10162975608999764,846,0.0034941029894440855,4.049816281905393,1.1904978063928315,Good,FYE,Simple (EW),TSUE
4,0.002054226303317539,0.09764618799400274,844,0.0033611204035283184,0.6111730782274643,1.1929433583007656,Good,FYE,Simple (EW),TSUE
5,-0.0046422678571428596,0.11584407155562557,840,0.0039970002017264234,-1.1614379842006828,1.187405395693134,Good,FYE,Simple (EW),TSUE
6,0.004099085816448152,0.08795300241762213,839,0.0030364748542109415,1.3499488760012606,1.1922726723089938,Good,FYE,Simple (EW),TSUE
-12,-0.008352583653846155,0.08832832459748662,1040,0.0027389450745396765,-3.0495623046584606,1.0,Bad,FYE,Simple (EW),TSUE
-11,-0.0275440846153846,0.1126484514296924,1040,0.0034930801937418095,-7.885328445860615,0.9724559153846154,Bad,FYE,Simple (EW),TSUE
-10,0.002967399038461541,0.08775975167503008,1040,0.0027213143766568,1.090428604616811,0.975341580132874,Bad,FYE,Simple (EW),TSUE
-9,-0.02026149807692307,0.11578315656617479,1040,0.0035902832736465647,-5.643426028705516,0.9555796985826687,Bad,FYE,Simple (EW),TSUE
-8,-0.006925256730769231,0.09922157225296706,1040,0.003076730344980185,-2.250849425939481,0.9489620638432725,Bad,FYE,Simple (EW),TSUE
-7,-0.03301247403846153,0.11438372360219891,1040,0.0035468886995810305,-9.307445717809264,0.9176344783471616,Bad,FYE,Simple (EW),TSUE
-6,0.02862448846153846,0.10183297310010163,1040,0.0031577064477252776,9.06496184347938,0.9439012958845199,Bad,FYE,Simple (EW),TSUE
-5,0.024031190384615386,0.11346880684656109,1040,0.003518518335341841,6.829917622777043,0.9665843676302059,Bad,FYE,Simple (EW),TSUE
-4,0.0047849163461538445,0.1031204034332512,1040,0.0031976279676438533,1.4963955765246737,0.9712093929708164,Bad,FYE,Simple (EW),TSUE
-3,-0.0002743144230769246,0.08556545737246532,1040,0.0026532721987994915,-0.10338721492692753,0.9709429762264967,Bad,FYE,Simple (EW),TSUE
-2,-0.007097382692307697,0.09440364038268374,1040,0.002927332619780315,-2.4245221210428514,0.9640518223518091,Bad,FYE,Simple (EW),TSUE
-1,0.01852377788461538,0.12581579919267885,1040,0.0039013823149982676,4.748003755849189,0.9819097041783127,Bad,FYE,Simple (EW),TSUE
0,0.045853820192307694,0.11831708411744776,1040,0.003668857031469171,12.498121294725353,1.0269340151987871,Bad,FYE,Simple (EW),TSUE
1,-0.012838323076923078,0.09793486766696799,1040,0.003036831329525407,-4.227539064189461,1.0137499045329832,Bad,FYE,Simple (EW),TSUE
2,-0.023904214423076917,0.11860205435622129,1040,0.0036776935834521955,-6.499784139340503,0.9895170094436531,Bad,FYE,Simple (EW),TSUE
3,0.013184002892960464,0.08750351855736932,1037,0.0027172909249826623,4.851892291600902,1.0025628045587918,Bad,FYE,Simple (EW),TSUE
4,-0.015745780038759687,0.0859396620903682,1032,0.002675184830281686,-5.88586622521395,0.9867766711631668,Bad,FYE,Simple (EW),TSUE
5,0.0042201656920077945,0.114098147815829,1026,0.0035620902124018764,1.1847441924167847,0.9909410322164833,Bad,FYE,Simple (EW),TSUE
6,-0.0007055935672514627,0.08115934828761118,1026,0.0025337564694464564,-0.2784772632097559,0.9902418305986259,Bad,FYE,Simple (EW),TSUE
-12,0.009523837555886734,0.10379742569103989,1342,0.002833415887006073,3.361256495935756,1.0,Good,FYE,Simple (VW),SUE
-11,0.042196307749627425,0.1265572394248708,1342,0.0034547031433074817,12.214163127552924,1.0421963077496275,Good,FYE,Simple (VW),SUE
-10,0.006121971684053651,0.10559425491418614,1342,0.0028824649306909674,2.1238668401027616,1.0485766040348958,Good,FYE,Simple (VW),SUE
-9,-0.05643706408345753,0.12109777012396485,1342,0.0033056729824068325,-17.072791042496338,0.9893980190365643,Good,FYE,Simple (VW),SUE
-8,-0.016573793591654246,0.10205866254151454,1342,0.0027859519051317023,-5.9490594798587315,0.9729999404890607,Good,FYE,Simple (VW),SUE
-7,-0.009681518628912068,0.13499162816634228,1342,0.0036849413298344273,-2.6273196130770096,0.9635798234392855,Good,FYE,Simple (VW),SUE
-6,0.016644210879284645,0.10896587691103019,1342,0.0029745019659761468,5.59562947668871,0.9796178492196327,Good,FYE,Simple (VW),SUE
-5,0.021148997764530556,0.11113247829622211,1342,0.003033644885415064,6.971481028056106,1.0003357849228731,Good,FYE,Simple (VW),SUE
-4,-0.018286377794336808,0.12066883789262269,1342,0.003293964181435685,-5.551480461565502,0.9820432668385789,Good,FYE,Simple (VW),SUE
-3,-0.007383228763040236,0.09075202846622414,1342,0.002477308445005335,-2.98034295161188,0.9747926167443063,Good,FYE,Simple (VW),SUE
-2,-0.035282375838926176,0.1002707150710745,1341,0.0027381656826497955,-12.885405752650616,0.9403996172753233,Good,FYE,Simple (VW),SUE
-1,0.022239762295081972,0.13533890560968248,1342,0.0036944211547781393,6.019823231663347,0.9613138812259127,Good,FYE,Simple (VW),SUE
0,0.060508012667660205,0.11822992675170166,1342,0.003227387871592981,18.748292760297986,1.0194810737287279,Good,FYE,Simple (VW),SUE
1,-0.03399021833084948,0.10250052148308088,1342,0.0027980135736799796,-12.147981929246024,0.9848286894485195,Good,FYE,Simple (VW),SUE
2,0.007587366616989571,0.1356673058107664,1342,0.0037033856771721417,2.0487649082185757,0.9923009457702949,Good,FYE,Simple (VW),SUE
3,0.009016045522388058,0.10160449554849474,1340,0.00277562330174362,3.2482958032252665,1.0012475762692685,Good,FYE,Simple (VW),SUE
4,-0.014238780688622757,0.09613051941635128,1336,0.002630013997147683,-5.413956239040962,0.9869910316157554,Good,FYE,Simple (VW),SUE
5,-0.010493472180451126,0.1290783556903779,1330,0.0035393833526606738,-2.9647741244425614,0.9766340686831406,Good,FYE,Simple (VW),SUE
6,-0.043504481174698795,0.0862900701352094,1328,0.0023678914232124347,-18.37266723812775,0.9341461102275455,Good,FYE,Simple (VW),SUE
-12,0.00539893779904306,0.12457690339883082,836,0.004308582297230901,1.2530659568723854,1.0,Bad,FYE,Simple (VW),SUE
-11,0.044626494019138756,0.13526276070712795,836,0.004678160400178807,9.539325333400935,1.0446264940191388,Bad,FYE,Simple (VW),SUE
-10,-0.003796338516746412,0.11061969165501469,836,0.0038258620353089487,-0.9922831721870617,1.0406607382242803,Bad,FYE,Simple (VW),SUE
-9,-0.0707353038277512,0.1391954294455989,836,0.004814174592578523,-14.693132221834237,0.9670492847243739,Bad,FYE,Simple (VW),SUE
-8,-0.02049478708133971,0.11554968733989472,836,0.003996369501410391,-5.128351388455629,0.947229815536786,Bad,FYE,Simple (VW),SUE
-7,-0.031043220095693776,0.1387531595244021,836,0.004798878367507286,-6.468849118136488,0.9178247518918741,Bad,FYE,Simple (VW),SUE
-6,0.015975770334928224,0.12212866711091919,836,0.004223908274665389,3.7822247302928944,0.932487709335811,Bad,FYE,Simple (VW),SUE
-5,0.036285192583732064,0.1272578098841018,836,0.004401303386837616,8.244192548108655,0.9663232054510241,Bad,FYE,Simple (VW),SUE
-4,-0.03437225358851675,0.11506155787505665,836,0.003979487190857006,-8.637357513673635,0.9331084991847931,Bad,FYE,Simple (VW),SUE
-3,-0.007252311004784686,0.09881266285529731,836,0.0034175074055065586,-2.122105424877555,0.9263413061474971,Bad,FYE,Simple (VW),SUE
-2,-0.041328236842105265,0.1152096615551579,836,0.003984609463740897,-10.371966743085734,0.8880572532504082,Bad,FYE,Simple (VW),SUE
-1,0.0009197631578947406,0.1464565347343509,836,0.0050653051701727335,0.18158099601003416,0.8888740555940491,Bad,FYE,Simple (VW),SUE
0,0.07362451674641149,0.13790064221701218,836,0.004769393439896397,15.43687214615928,0.9543169783855839,Bad,FYE,Simple (VW),SUE
1,-0.046708844497607656,0.13163337767933023,836,0.004552635563416921,-10.259737210889542,0.9097419350407449,Bad,FYE,Simple (VW),SUE
2,-0.04078262679425838,0.12879890515236284,836,0.004454603281200203,-9.155164718342848,0.8726402692248917,Bad,FYE,Simple (VW),SUE
3,-0.00563989555822329,0.11838736839697654,833,0.004101879198652474,-1.374954084478177,0.8677186692465635,Bad,FYE,Simple (VW),SUE
4,-0.026695780458383597,0.10831515916555927,829,0.0037619409731516266,-7.096278396951767,0.8445542421527166,Bad,FYE,Simple (VW),SUE
5,-0.0034856189320388335,0.13269638242698323,824,0.004622697525697264,-0.7540227135049423,0.8416104478971352,Bad,FYE,Simple (VW),SUE
6,-0.04538527527405603,0.10841410151702434,821,0.0037836782314954963,-11.995014506325377,0.8034137260458022,Bad,FYE,Simple (VW),SUE
-12,0.021259567216981128,0.10864577190539323,848,0.0037309111248913624,5.698223974070186,1.0,Good,FYE,Simple (VW),TSUE
-11,0.04205363561320755,0.12104654109702684,848,0.004156755287281442,10.116938021798015,1.0420536356132075,Good,FYE,Simple (VW),TSUE
-10,0.013212709905660378,0.10421734606336852,848,0.0035788383571249967,3.6918990429829304,1.0558219880067037,Good,FYE,Simple (VW),TSUE
-9,-0.03879262382075471,0.11602553728010459,848,0.003984333308311203,-9.736289817881058,1.0148638828042782,Good,FYE,Simple (VW),TSUE
-8,-0.00749842570754717,0.09587075296546115,848,0.0032922151733802986,-2.2776232149638393,1.0072540013757973,Good,FYE,Simple (VW),TSUE
-7,-0.011054235849056602,0.1257445254435962,848,0.004318084732098163,-2.5599858582870683,0.9961195780846831,Good,FYE,Simple (VW),TSUE
-6,0.01824876768867924,0.098734230988805,848,0.003390547412415596,5.382248194452442,1.014297532855296,Good,FYE,Simple (VW),TSUE
-5,0.01734383490566038,0.104309342727902,848,0.003581997535555426,4.841944957667604,1.0318893418103565,Good,FYE,Simple (VW),TSUE
-4,-0.01125007900943396,0.1079258035567562,848,0.003706187310292865,-3.035485815352644,1.020280505185997,Good,FYE,Simple (VW),TSUE
-3,-0.002465327830188676,0.08509681380155742,848,0.002922236583504628,-0.8436441608132963,1.017765179261963,Good,FYE,Simple (VW),TSUE
-2,-0.022748055489964582,0.10146892390999315,847,0.003486513486586722,-6.524585542973134,0.9946130004883581,Good,FYE,Simple (VW),TSUE
-1,0.010363429245283023,0.1262350633875368,848,0.00433492987425264,2.390679790885826,1.0049206019453578,Good,FYE,Simple (VW),TSUE
0,0.03620668278301887,0.10580328135219712,848,0.0036332995985399025,9.965234575637275,1.0413054434021138,Good,FYE,Simple (VW),TSUE
1,-0.0253580554245283,0.10092080619861553,848,0.003465634713399545,-7.317001796664779,1.01489996225446,Good,FYE,Simple (VW),TSUE
2,-0.0020639009433962227,0.12024745858496827,848,0.004129314681156967,-0.4998168225866359,1.0128053092649103,Good,FYE,Simple (VW),TSUE
3,0.009337475177304965,0.10162975608999764,846,0.0034941029894440855,2.672352591069608,1.022262353699614,Good,FYE,Simple (VW),TSUE
4,-0.005464773696682467,0.09764618799400274,844,0.0033611204035283184,-1.6258785882665345,1.0166759212780079,Good,FYE,Simple (VW),TSUE
5,-0.009431267857142855,0.11584407155562555,840,0.003997000201726423,-2.359586535189368,1.0070873783405276,Good,FYE,Simple (VW),TSUE
6,-0.04087591418355185,0.08795300241762215,839,0.003036474854210942,-13.461634344465486,0.965921761088142,Good,FYE,Simple (VW),TSUE
-12,0.0015264163461538441,0.08832832459748663,1040,0.002738945074539677,0.5573008237160004,1.0,Bad,FYE,Simple (VW),TSUE
-11,0.027062915384615388,0.1126484514296924,1040,0.0034930801937418095,7.747579180432563,1.0270629153846154,Bad,FYE,Simple (VW),TSUE
-10,-0.007657600961538462,0.08775975167503008,1040,0.0027213143766568,-2.8139347027394934,1.0191980774162057,Bad,FYE,Simple (VW),TSUE
-9,-0.08076549807692307,0.1157831565661748,1040,0.003590283273646565,-22.495578181743713,0.9368820370546435,Bad,FYE,Simple (VW),TSUE
-8,-0.02541925673076923,0.09922157225296706,1040,0.003076730344980185,-8.261775937641666,0.9130671920283053,Bad,FYE,Simple (VW),TSUE
-7,-0.04249647403846153,0.11438372360219892,1040,0.003546888699581031,-11.981338473767542,0.8742650558069035,Bad,FYE,Simple (VW),TSUE
-6,0.015065488461538457,0.10183297310010164,1040,0.003157706447725278,4.771022484497002,0.8874362859174887,Bad,FYE,Simple (VW),TSUE
-5,0.031722190384615385,0.1134688068465611,1040,0.0035185183353418415,9.015780894469438,0.9155877087335793,Bad,FYE,Simple (VW),TSUE
-4,-0.027149083653846152,0.1031204034332512,1040,0.0031976279676438533,-8.490382223498857,0.8907303414367379,Bad,FYE,Simple (VW),TSUE
-3,-0.00832631442307692,0.08556545737246532,1040,0.0026532721987994915,-3.1381305042295593,0.883313840547761,Bad,FYE,Simple (VW),TSUE
-2,-0.0391193826923077,0.09440364038268376,1040,0.0029273326197803155,-13.363490854429603,0.8487591483819611,Bad,FYE,Simple (VW),TSUE
-1,0.006721777884615389,0.12581579919267885,1040,0.0039013823149982676,1.7229221188537565,0.8544643188549199,Bad,FYE,Simple (VW),TSUE
0,0.0760908201923077,0.11831708411744778,1040,0.0036688570314691716,20.739652578350157,0.9194812097016523,Bad,FYE,Simple (VW),TSUE
1,-0.04558132307692308,0.09793486766696799,1040,0.003036831329525407,-15.009501065719867,0.8775700396190811,Bad,FYE,Simple (VW),TSUE
2,-0.03311821442307692,0.11860205435622129,1040,0.0036776935834521955,-9.005158714715257,0.8485064868757083,Bad,FYE,Simple (VW),TSUE
3,0.008371002892960463,0.08750351855736932,1037,0.0027172909249826623,3.0806428623441837,0.8556093371320405,Bad,FYE,Simple (VW),TSUE
4,-0.023264780038759692,0.0859396620903682,1032,0.002675184830281686,-8.696513143845095,0.8357037741045547,Bad,FYE,Simple (VW),TSUE
5,-0.0005688343079922006,0.11409814781582898,1026,0.003562090212401876,-0.1596911571783698,0.8352283971265255,Bad,FYE,Simple (VW),TSUE
6,-0.04568059356725146,0.08115934828761118,1026,0.0025337564694464564,-18.028801946080947,0.7970746681815618,Bad,FYE,Simple (VW),TSUE
-12,-0.005843732739889405,0.0962415551878448,1342,0.0026271590999867238,-2.2243543377022488,1.0,Good,FYE,MM (EW),SUE
-11,-0.03560162292054209,0.08847483591873694,1342,0.0024151466572840522,-14.740977659956194,0.9643983770794579,Good,FYE,MM (EW),SUE
-10,0.010040332703960613,0.10152852560565408,1342,0.0027714804632211214,3.6227326287161885,0.9740812576444953,Good,FYE,MM (EW),SUE
-9,-0.00251096492561816,0.11685840861696949,1342,0.003189948780532724,-0.7871489789873136,0.9716353737718478,Good,FYE,MM (EW),SUE
-8,-0.007413485642952274,0.09988252501551453,1342,0.002726548672369151,-2.7189999276669994,0.9644321688782057,Good,FYE,MM (EW),SUE
-7,-0.009606843062114965,0.13582586753046313,1342,0.0037077140243606073,-2.591042081184149,0.9551670203877376,Good,FYE,MM (EW),SUE
-6,0.014535357808671058,0.09749740903306194,1342,0.002661440838797738,5.461461925727857,0.9690507147961156,Good,FYE,MM (EW),SUE
-5,-0.0012603733149188635,0.10980376923674794,1342,0.0029973743774206834,-0.4204924564690003,0.9678293491343835,Good,FYE,MM (EW),SUE
-4,0.008699385139641351,0.11158386079706159,1342,0.00304596652384184,2.856034388936397,0.9762488693919519,Good,FYE,MM (EW),SUE
-3,-0.0039837656405094955,0.08871233124117307,1342,0.0024216296987968847,-1.645076306459535,0.9723597226894819,Good,FYE,MM (EW),SUE
-2,-0.00737167002629398,0.09576438356111303,1341,0.0026151079954030883,-2.8188778586781553,0.9651918076669563,Good,FYE,MM (EW),SUE
-1,0.015557877128935055,0.13907731055357409,1342,0.0037964704675579543,4.097984499519239,0.9802081432164935,Good,FYE,MM (EW),SUE
0,0.01142119724404906,0.12193772276388351,1342,0.0033286016353905996,3.431229836161762,0.991403293760392,Good,FYE,MM (EW),SUE
1,-0.00898427206657094,0.10083010483211186,1342,0.002752415284076313,-3.2641411775861373,0.9824962568415542,Good,FYE,MM (EW),SUE
2,0.00228063864874438,0.13592090829651993,1342,0.00371030840485382,0.6146763017761143,0.9847369757771537,Good,FYE,MM (EW),SUE
3,0.0006489555488582421,0.10334042840919208,1340,0.0028230453736943074,0.22987783154508873,0.9853760263017501,Good,FYE,MM (EW),SUE
4,-0.011855088918450088,0.09824356637721295,1336,0.002687824389907833,-4.410663495339666,0.9736943058918339,Good,FYE,MM (EW),SUE
5,-0.020210984649447376,0.131650462154594,1330,0.003609911604682682,-5.598747798486317,0.9540149852221997,Good,FYE,MM (EW),SUE
6,-0.006760062418482664,0.08731141536661909,1328,0.0023959182240923557,-2.8214912973682877,0.9475657843739298,Good,FYE,MM (EW),SUE
-12,-0.007240036107039601,0.11298206935973572,836,0.0039075665766824625,-1.8528247606177493,1.0,Bad,FYE,MM (EW),SUE
-11,-0.03368434650009719,0.10007897312528732,836,0.003461303661981271,-9.73169354370257,0.9663156534999028,Bad,FYE,MM (EW),SUE
-10,0.0026275764761397734,0.1078592516225276,836,0.003730390220453636,0.7043704065416099,0.9688547217795648,Bad,FYE,MM (EW),SUE
-9,-0.014280077259919208,0.1363227618690122,836,0.004714821306948317,-3.0287631980610596,0.9550194014989151,Bad,FYE,MM (EW),SUE
-8,-0.009309968858903405,0.11332399607311214,836,0.003919392359343695,-2.375360261319274,0.9461282006113115,Bad,FYE,MM (EW),SUE
-7,-0.028957883416099738,0.13974055183522663,836,0.00483302804465266,-5.991664676587012,0.9187303304813249,Bad,FYE,MM (EW),SUE
-6,0.014731569641860098,0.11155377797470992,836,0.0038581680862005796,3.818280933521316,0.9322646703268997,Bad,FYE,MM (EW),SUE
-5,0.014914334979040928,0.1244252241027819,836,0.004303336359083598,3.465760920026469,0.9461687779092802,Bad,FYE,MM (EW),SUE
-4,-0.004558953022083414,0.10442761152874803,836,0.003611704466071133,-1.262271889882151,0.9418552388998297,Bad,FYE,MM (EW),SUE
-3,-0.0009711641367537497,0.10071151582259469,836,0.003483180608618289,-0.27881532595548986,0.9409405428697966,Bad,FYE,MM (EW),SUE
-2,-0.010420570406374443,0.11329481870407801,836,0.003918383238934772,-2.6594056198564475,0.9311354056946096,Bad,FYE,MM (EW),SUE
-1,-0.005413117567657733,0.15301790630315074,836,0.005292234951019658,-1.0228415060474185,0.9260950602721761,Bad,FYE,MM (EW),SUE
0,0.02481969971519359,0.14932364429065434,836,0.00516446622765192,4.805859622491544,0.9490804615758556,Bad,FYE,MM (EW),SUE
1,-0.019386025079643984,0.13020582188817081,836,0.004503262513980884,-4.3048845186035445,0.9306815639451459,Bad,FYE,MM (EW),SUE
2,-0.045014650555861686,0.13321389628628458,836,0.0046072989424589105,-9.77029081855874,0.8887872585653722,Bad,FYE,MM (EW),SUE
